resolution_topics;gender;name;resolution_category;retweet_count;text;tweet_coord;tweet_created;tweet_date;tweet_id;tweet_location;tweet_state;user_timezone;tweet_region
Eat healthier;female;Dena_Marina;Health & Fitness;0;#NewYearsResolution :: Read more books, No scrolling FB/checking email b4 breakfast, stay dedicated to PT/yoga to squash my achin' back!;NaN;2014-12-31T10:48:00;2014-12-31;5,50363E+17;Southern California;CA;Pacific Time (US & Canada);West
Humor about Personal Growth and Interests Resolutions;female;ninjagirl325;Humor;1;#NewYearsResolution Finally master @ZJ10 's part of Kitchen Sink;NaN;2014-12-31T10:47:00;2014-12-31;5,50363E+17;New Jersey;NJ;Central Time (US & Canada);Northeast
Be More Confident;male;RickyDelReyy;Personal Growth;0;#NewYearsResolution to stop being so damn perf _???_???;NaN;2014-12-31T10:46:00;2014-12-31;5,50362E+17;Hollywood;CA;Eastern Time (US & Canada);West
Other;male;CalmareNJ;Family/Friends/Relationships;0;My #NewYearsResolution is to help my disabled patients discover the emotional and physical therapy from loving a pet. #adoptarescue;NaN;2014-12-31T10:45:00;2014-12-31;5,50362E+17;Metro NYC;NY;NaN;Northeast
Be more positive;female;welovatoyoudemi;Personal Growth;0;#NewYearsResolution #2015Goals #2015bucketlist continued??_??? http://t.co/h4P9B7tWjG;NaN;2014-12-31T10:44:00;2014-12-31;5,50362E+17;Pittsburgh, Pennsylvania ;PA;Eastern Time (US & Canada);Northeast
Try new things;male;DGP_Omen;Personal Growth;0;treat people the way they treat me! _????????#NewYearsResolution;NaN;2014-12-31T10:37:00;2014-12-31;5,5036E+17;Muck City, Florida;FL;Mountain Time (US & Canada);South
Be more positive;female;AshleeSoAfrican;Personal Growth;0;#NewYearsResolution Stop worrying about irrelevant things;NaN;2014-12-31T10:37:00;2014-12-31;5,5036E+17;Houston, Tx;TX;Pacific Time (US & Canada);South
Other;female;yates_amber;Recreation & Leisure;0;#NewYearsResolution to start a hobby, do it once, and never do it again.;NaN;2014-12-31T10:35:00;2014-12-31;5,5036E+17;louisville, ky;KY;Eastern Time (US & Canada);South
Humor about not Keeping Resolutions;male;Steven_Baucom;Humor;0;#NewYearsResolution Watch Die Hard twice a day, instead of just once.;NaN;2014-12-31T10:35:00;2014-12-31;5,50359E+17;Clarksville, TN;TN;Central Time (US & Canada);South
Quit smoking;male;chadzizelman;Health & Fitness;0;Time to give up tobacco! #NewYearsResolution;NaN;2014-12-31T10:34:00;2014-12-31;5,50359E+17;Cincinnati, OH;OH;NaN;Midwest
Focus on my self;male;superqguru;Personal Growth;0;Theme 2015 is about trusting justice, peace and love. Bonding with everything from all directions, all forces. #karma #NewYearsResolution;NaN;2014-12-31T10:34:00;2014-12-31;5,50359E+17;Rock Creek Oregon;OR;NaN;West
Focus on Religion and Faith;female;JustMeShauntell;Personal Growth;1;RT @kymeshawhite: #NewYearsResolution To grow in christ and increase spiritually next year.;NaN;2014-12-31T10:33:00;2014-12-31;5,50359E+17;Atlanta,GA;GA;Eastern Time (US & Canada);South
Humor about Personal Growth and Interests Resolutions;male;tyson_c;Humor;0;I was going to resolve to procrastinate less, but honestly what's the rush? #NewYearsResolution;NaN;2014-12-31T10:32:00;2014-12-31;5,50359E+17;Chico, CA;CA;Pacific Time (US & Canada);West
Be more positive;male;metalheadjs;Personal Growth;4;RT @JessicaDrown: My #NewYearsResolution is to grow and continue to make you guys smile. ??????_??;NaN;2014-12-31T10:32:00;2014-12-31;5,50359E+17;San Antonio Tx;TX;NaN;South
Humor about New Years;male;BlueFirecracker;Humor;0;#NewYearsResolution - I will cut a bitch in the face if I ever hear The Spin Doctor's Two Princes again!;NaN;2014-12-31T10:31:00;2014-12-31;5,50359E+17;Los Angeles, CA;CA;Pacific Time (US & Canada);West
Humor about New Years;male;Steven_Baucom;Humor;0;#NewYearsResolution Go to more shows where you will get wet is warned before hand.;[36.5918981, -87.3069279];2014-12-31T10:30:00;2014-12-31;5,50358E+17;Clarksville, TN;TN;Central Time (US & Canada);South
Other;male;DITUPAC3361;Recreation & Leisure;0;#NewYearsResolution Stop watching morning national news;[0.0, 0.0];2014-12-31T10:29:00;2014-12-31;5,50358E+17;Long Beach;CA;Pacific Time (US & Canada);West
Find a Girlfriend;male;billrepko;Family/Friends/Relationships;0;Also, date women my own age. Not to say it's their fault, only a seasoned woman can put up with my idiocy. #NewYearsResolution;NaN;2014-12-31T10:28:00;2014-12-31;5,50358E+17;Kutztown;PA;NaN;Northeast
Curse less;female;TaraBethIdaho;Personal Growth;0;#NewYearsResolution 2:Avoid Game of Thrones spoilers.Which will be really hard cause I'm on book 2 and seriously spoilers are EVERYWHERE;NaN;2014-12-31T10:28:00;2014-12-31;5,50358E+17;Moscow, Idaho;ID;Pacific Time (US & Canada);West
Humor about Family/Friends/Relationships Resolutions;female;AshleeSoAfrican;Humor;0;#NewYearsResolution Stop being so nice to people;NaN;2014-12-31T10:28:00;2014-12-31;5,50358E+17;Houston, Tx;TX;Pacific Time (US & Canada);South
Be more positive;female;ra_miller19;Personal Growth;0;#NewYearsResolution be happy;NaN;2014-12-31T10:27:00;2014-12-31;5,50358E+17;Pennsylvania/ Massachusetts;MA;NaN;Northeast
Humor about New Years;male;freckleface_kev;Humor;0;???@Becca3129 #NewYearsResolution #ForReal #TheStruggle http://t.co/y1kABoWMbV??damn..this is so true.;NaN;2014-12-31T10:41:00;2014-12-31;5,50361E+17;North Carolina;NC;Eastern Time (US & Canada);South
Volunteer more;male;yourethe1zforme;Family/Friends/Relationships;0;Save a pit bulls life #NewYearsResolution;NaN;2014-12-31T10:41:00;2014-12-31;5,50361E+17;North Carolina;NC;Eastern Time (US & Canada);South
Humor about Family/Friends/Relationships Resolutions;male;Dandridge9;Humor;3;RT @_Dear_Leader_: #NewYearsResolution - I will get a decent haircut.;NaN;2014-12-31T10:40:00;2014-12-31;5,50361E+17;Portland, Oregon USA;OR;Arizona;West
Be more positive;male;Reesesking1;Personal Growth;0;lost a lot this year...no more tears for the next. #NewYearsResolution;NaN;2014-12-31T10:39:00;2014-12-31;5,50361E+17;San Antonio, Texas;TX;NaN;South
Humor about not Resolutions in general;male;welcometoboz;Humor;0;#ToDoList ???@blogbooktours: This is you all over the place,  #actors #acting #NewYearsResolution #success @theiflist http://t.co/CIaz7FB0fq??;NaN;2014-12-31T10:39:00;2014-12-31;5,50361E+17;Los Angeles, CA;CA;Mountain Time (US & Canada);West
Eat healthier;female;scandalwomen;Health & Fitness;1;RT @colonsuzan: Easy #NewYearsResolution: Stand up for your health with the @takeayogabreak app! http://t.co/WwL9JDvAhZ http://t.co/vpcfSqm??_;NaN;2014-12-31T10:38:00;2014-12-31;5,5036E+17;New York;NY;Quito;Northeast
Be more positive;female;vtorres0811;Personal Growth;0;@Inc @MarlaTabaka YES - let's all take calculated risks and reduce self criticism as part of our #NewYearsResolution;NaN;2014-12-31T10:37:00;2014-12-31;5,5036E+17;New York, NY;NY;Eastern Time (US & Canada);Northeast
Lose weight;female;SydneyySayys;Health & Fitness;0;I always torture myself by looking at old pictures where I was 30 lbs thinner. #NewYearsResolution;NaN;2014-12-31T10:37:00;2014-12-31;5,5036E+17;Menasha, WI;WI;Pacific Time (US & Canada);Midwest
Other;female;AshleeSoAfrican;Family/Friends/Relationships;0;#NewYearsResolution Transfer to another College;NaN;2014-12-31T10:27:00;2014-12-31;5,50358E+17;Houston, Tx;TX;Pacific Time (US & Canada);South
Spend more time on my hobby;male;Tommy4cars;Recreation & Leisure;0;#Newyearsresolution get a #classic #americanmusclecar #pontiacfirebird #400v8 numbers matching 1969??_ http://t.co/tI4ELI7xrT;[40.08261806, -75.6313613];2014-12-31T10:27:00;2014-12-31;5,50358E+17;Chester Springs,PA;PA;NaN;Northeast
Other;male;GavinoBernal;Personal Growth;0;In 2015 I hope my years &amp; my New Years resolution. Make it the best memorable moment to be amazing #NewYearsResolution #NewYear;NaN;2014-12-31T10:27:00;2014-12-31;5,50358E+17;North Las Vegas, Nevada;NV;Hawaii
Be more positive;male;YungBerna;Personal Growth;13;My #NewYearsResolution Is To Stay Positive_???_???_???;NaN;2014-12-31T10:26:00;2014-12-31;5,50357E+17;Chicago;IL;Eastern Time (US & Canada);Midwest
Quit smoking;male;901patt;Health & Fitness;1;RT @RuStretch: #NewYearsResolution stop smoking _???_???;NaN;2014-12-31T10:26:00;2014-12-31;5,50357E+17;19|Tennessee State University;TN;Eastern Time (US & Canada);South
Humor about New Years;male;Steven_Baucom;Humor;0;#NewYearsResolution Get more stuff off craigslist.;[36.5918908, -87.3069079];2014-12-31T10:26:00;2014-12-31;5,50357E+17;Clarksville, TN;TN;Central Time (US & Canada);South
Go to the gym more;male;HolUpMan;Health & Fitness;1;RT @Tquadah: Some of yall  waiting for a new year for change when I been working on change. #NewYearsEve #NewYearsResolution;NaN;2014-12-31T10:26:00;2014-12-31;5,50357E+17;SNB??? Lamar University;TX;Central Time (US & Canada);South
Quit smoking;male;jaaron_a;Health & Fitness;0;#NewYearsResolution stop drinking smoking all that. So I'm getting fucked up before 12o'clock hit;NaN;2014-12-31T10:25:00;2014-12-31;5,50357E+17;fremont;CA;NaN;West
Humor about New Years;female;LoriLSchafer;Humor;4;RT @Ruebi_LHB: #wwwblogs: My #NewYearsResolution is to stop being such a miserable shit....Pffft, yeah right! http://t.co/9wBEVjTtGs ...#hu??_;NaN;2014-12-31T10:25:00;2014-12-31;5,50357E+17;Northern California, USA;CA;Pacific Time (US & Canada);West
Be more positive;female;LadyLiberally;Personal Growth;0;I want 2015 2 lack entropy, become pregnant w/empathy, &amp; put me on the super highway 2 fulfillment! #NewYearsResolution #StopTalkinStartDoin;NaN;2014-12-31T10:24:00;2014-12-31;5,50357E+17;Marquette, Mi;MI;Eastern Time (US & Canada)
Other;male;typaluska;Health & Fitness;0;My #NewYearsResolution is twofold: eat more #chipotle and be at Wrigley when the @Cubs win the #worldseries this year!;NaN;2014-12-31T10:24:00;2014-12-31;5,50357E+17;Peoria, IL;IL;Central Time (US & Canada);Midwest
Make new friends;female;Ashesfall_;Family/Friends/Relationships;0;Happy #NewYearsEve . what's your guys #NewYearsResolution ? Mine is to prove you can do good #cosplay #cheep and start getting more social;NaN;2014-12-31T10:23:00;2014-12-31;5,50357E+17;Spokane Washington. USA;WA;Pacific Time (US & Canada);West
Go to the gym more;male;apechacek88;Health & Fitness;0;#NewYearsResolution is to go to the gym regularly but I'm gonna wait a week or two for the other billion or so with the same one to give up.;NaN;2014-12-31T10:21:00;2014-12-31;5,50356E+17;Massachusetts;MA;Eastern Time (US & Canada);Northeast
Get my life together;male;gamemonkeyvt;Personal Growth;0;This is how I??m living a connected life in 2015. #NewYearsResolution http://t.co/WnUFDBB7gy #ATTCrowd #ad;NaN;2014-12-31T10:21:00;2014-12-31;5,50356E+17;Barton, VT;VT;Eastern Time (US & Canada);Northeast
Other;male;sbleggi;Family/Friends/Relationships;0;MMT @neilwatkins05 @elledodd: I'm setting myself 10, or at most 12, goals for 2015. Yes but with 159 #indicators! #NewYearsResolution #SDG;NaN;2014-12-31T10:21:00;2014-12-31;5,50356E+17;MoCo, MD & SW DC;MD;NaN;South
Be more positive;female;abstractwriter;Personal Growth;0;This will be MY year. #NewYearsResolution #2015 http://t.co/2w3YK3cty5;NaN;2014-12-31T10:20:00;2014-12-31;5,50356E+17;Chicago;IL;Central Time (US & Canada);Midwest
Spend less time on Facebook;male;m_cash2;Personal Growth;0;#NewYearsResolution get closer to the man above _??_??;NaN;2014-12-31T10:20:00;2014-12-31;5,50356E+17;houston, tx;TX;NaN;South
Other;female;emily_mariem33;Family/Friends/Relationships;1;RT @Queen_of_prep: I'm gonna get rich and be a bitch #NewYearsResolution;NaN;2014-12-31T10:19:00;2014-12-31;5,50356E+17;ky;KY;Mountain Time (US & Canada);South
Drink Less Caffine;female;BitchyPhotogrl;Health & Fitness;0;#NewYearsResolution no.more.drunk.texting.;NaN;2014-12-31T10:19:00;2014-12-31;5,50356E+17;Ohio, unfortunately. ;OH;Eastern Time (US & Canada);Midwest
Volunteer more;male;StopHaydenIsBad;Family/Friends/Relationships;0;change people's lives with Necco Wafers #NewYearsResolution;NaN;2014-12-31T10:18:00;2014-12-31;5,50355E+17;Rochester;NY;NaN;Northeast
Humor about Personal Growth and Interests Resolutions;male;PittsburghM1ke;Humor;0;#NewYearsResolution To stop writing For sexual favors in the memo line of all my checks.;NaN;2014-12-31T10:17:00;2014-12-31;5,50355E+17;Cumberland, MD;MD;Atlantic Time (Canada);South
Drink Less Caffine;female;kelliekennedyy;Health & Fitness;0;Gonna do this in 2015! #newyearsresolution http://t.co/t62lTpkKyL;NaN;2014-12-31T10:16:00;2014-12-31;5,50355E+17;North Carolina;NC;Eastern Time (US & Canada);South
Humor about Recreation and Leisure Resolutions;male;paulywog;Humor;0;Eat French fries for breakfast every day in 2015 #NewYearsResolution;NaN;2014-12-31T10:16:00;2014-12-31;5,50355E+17;New York, NY;NY;Eastern Time (US & Canada);Northeast
Humor about Family/Friends/Relationships Resolutions;female;SimplyRechanale;Humor;0;@ochocinco I will tweet you everyday until you notice me!!!!! #NewYearsResolution;NaN;2014-12-31T10:16:00;2014-12-31;5,50355E+17;Texas;TX;Eastern Time (US & Canada);South
Find a Girlfriend;female;DebbieRFischer;Family/Friends/Relationships;0;My #NewYearsResolution is to call people back within 24 hours and make more effort with friends. Have to stop falling off the grid.;NaN;2014-12-31T10:15:00;2014-12-31;5,50355E+17;Florida b/c I love weirdos.;FL;NaN;South
Spend more time on my hobby;male;udp514;Recreation & Leisure;0;#NewYearsResolution: Keep a blog of all the amazing #tacos I have.;NaN;2014-12-31T10:14:00;2014-12-31;5,50354E+17;Philadelphia, PA;PA;Eastern Time (US & Canada);Northeast
Make more time for friends;male;swaggy_senator;Family/Friends/Relationships;0;I hope to meet more of my internet friends in 2015 #NewYearsResolution;NaN;2014-12-31T10:14:00;2014-12-31;5,50354E+17;Jefferson City, MO;MO;NaN;Midwest
Take a trip;female;SaltySith;Recreation & Leisure;0;Drink beer besides Yuengling #NewYearsResolution;NaN;2014-12-31T10:13:00;2014-12-31;5,50354E+17;Pittsburgh, PA;PA;Central Time (US & Canada);Northeast
Humor about New Years;male;paulywog;Humor;0;Bang a stripper #NewYearsResolution;NaN;2014-12-31T10:13:00;2014-12-31;5,50354E+17;New York, NY;NY;Eastern Time (US & Canada);Northeast
Get dream job;female;LivnDeadGrl87;Family/Friends/Relationships;0;#NewYearsResolution is to start #writing again. I need to get my ass back into gear! #thestruggle;NaN;2014-12-31T10:13:00;2014-12-31;5,50354E+17;Boston;MA;Alaska;Northeast
Other;male;ssl01191;Humor;0;Lets leave the words bae, bruh, thot, and fleek in 2014. #NewYearsResolution #stupidwordsof2014;NaN;2014-12-31T10:13:00;2014-12-31;5,50354E+17;Wichita Falls, TX;TX;NaN;South
Humor about New Years;male;paulywog;Humor;0;Burn as many bridges as possible (literally and figuratively) #NewYearsResolution;NaN;2014-12-31T10:13:00;2014-12-31;5,50354E+17;New York, NY;NY;Eastern Time (US & Canada);Northeast
Be more friendly;male;YoungWilliam27;Personal Growth;0;#NewYearsResolution: tweet more about the @Indians because I know all of my Chicago and MPLS-based followers crave it. You're welcome guys;NaN;2014-12-31T10:12:00;2014-12-31;5,50354E+17;Minneapolis via South; Bend/CL;MN;Central Time (US & Canada);South
Humor about not Resolutions in general;male;TerrancePryor;Humor;0;My #NewYearsResolution is that I'm gonna start punching folks for saying dumb shit, which means my hands will be tired around 12:02am 2nite.;NaN;2014-12-31T10:12:00;2014-12-31;5,50354E+17;North Jersey;NJ;Central Time (US & Canada);Northeast
Make better decisions;male;Lilmeechie12;Personal Growth;0;In this new year I promise not to let it be like the last #newyearsresolution;NaN;2014-12-31T10:12:00;2014-12-31;5,50354E+17;Aurora (The City Of Lights);IL;NaN;Midwest
Humor about Health and Fitness Resolutions;male;YakiMargulies;Humor;0;#NewYearsResolution - Go to the gym more. And burn it to the ground.;NaN;2014-12-31T10:12:00;2014-12-31;5,50354E+17;Los Angeles;CA;NaN;West
Be more positive;male;RKive612;Personal Growth;0;This is my #NewYearsResolution http://t.co/3uvUfZJWCh;NaN;2014-12-31T10:12:00;2014-12-31;5,50354E+17;Minneapolis, Minnesota;MN;Central Time (US & Canada);Midwest
Other;male;ctwillie;Personal Growth;11;RT @TSAgov: Talk less. Touch more. #TSA #NewYearsResolution;NaN;2014-12-31T10:11:00;2014-12-31;5,50353E+17;Eastern NC;NC;Tehran;South
Humor about New Years;female;bebegurljc;Humor;0;Having to poop after a shower &lt;&lt;&lt;&lt;.  I refuse to let this happen in 2015!! _??__??? #NewYearsResolution;NaN;2014-12-31T10:10:00;2014-12-31;5,50353E+17;Los Angeles;CA;NaN;West
Spend more time with significant other;male;NiMF245;Family/Friends/Relationships;0;#NewYearsResolution 3. Love better;NaN;2014-12-31T10:09:00;2014-12-31;5,50353E+17;Chicago, Illinois;IL;NaN;Midwest
Save money;female;AvaYuen;Family/Friends/Relationships;0;no more starbucks starting tomorrow... too much money spent on vanilla lattes and lots of jiggly parts to burn off :/ #NewYearsResolution;NaN;2014-12-31T10:09:00;2014-12-31;5,50353E+17;Washington D.C.;DC;Eastern Time (US & Canada);South
Get my life together;male;NiMF245;Personal Growth;0;#NewYearsResolution 1. Be more competitive;NaN;2014-12-31T10:08:00;2014-12-31;5,50353E+17;Chicago, Illinois;IL;NaN;Midwest
Improve my attitude;male;ebgbz1;Personal Growth;3;RT @MrMarkFairhurst: #NewYearsResolution I must try harder..... http://t.co/E1WG6meCHO;NaN;2014-12-31T10:08:00;2014-12-31;5,50353E+17;tampa, fl;FL;Atlantic Time (Canada);South
Humor about not Keeping Resolutions;male;daleapproved;Humor;0;#NewYearsResolution: To not make a new years resolution. That is all.;[38.87268935, -104.73765207];2014-12-31T10:07:00;2014-12-31;5,50353E+17;Colorado;CO;Eastern Time (US & Canada);West
Humor about Health and Fitness Resolutions;female;MelissaLev;Humor;0;If having eat more chipotle as a new years resolution is wrong...then I don't want to be right. #NewYearsResolution;NaN;2014-12-31T10:06:00;2014-12-31;5,50352E+17;Boston;MA;Eastern Time (US & Canada);Northeast
Improve my body;female;AprilMonterrosa;Health & Fitness;1;Drink more #wine in 2015. #NewYearsResolution;NaN;2014-12-31T10:06:00;2014-12-31;5,50352E+17;Deep in the Heart of Texas;TX;Central Time (US & Canada);South
Get my life together;male;gamemonkeyvt;Personal Growth;0;This is how I??m living a connected life in 2015. #NewYearsResolution http://t.co/WnUFDBB7gy #ATTCrowd #ad;NaN;2014-12-31T10:21:00;2014-12-31;5,50356E+17;Barton, VT;VT;Eastern Time (US & Canada);Northeast
Focus on My Future;female;ohhliviiia;Personal Growth;0;My resolution is to treat 2015 as 365 opportunities rather than a year! #newyearsresolution #newyears??_ http://t.co/fkx051xrNh;NaN;2014-12-31T10:05:00;2014-12-31;5,50352E+17;El Sobrante, CA;CA;Pacific Time (US & Canada);West
Humor about New Years;female;allaboutgingy;Humor;0;I'll care a little less next year! #NewYearsResolution  #2015;NaN;2014-12-31T10:04:00;2014-12-31;5,50352E+17;Pacifica, CA;CA;Pacific Time (US & Canada);West
Focus on my self;male;PhilBacharach;Personal Growth;0;I'm finally gonna write that fan fiction on Los Del Rio and capitalize on that Macarena craze. #NewYearsResolution;NaN;2014-12-31T10:04:00;2014-12-31;5,50352E+17;Oklahoma City;OK;Central Time (US & Canada);South
Humor about Personal Growth and Interests Resolutions;male;ExpensiveWinos;Humor;0;For 2015, I resolve to not get sucked out into the vacuum of space. #NewYearsResolution;NaN;2014-12-31T10:03:00;2014-12-31;5,50352E+17;Minneapolis;MN;Central Time (US & Canada);Midwest
Humor about Health and Fitness Resolutions;male;ExpensiveWinos;Humor;0;For 2015, I resolve to continue my tradition of not losing any duels I have with former Vice President Aaron Burr. #NewYearsResolution;NaN;2014-12-31T10:01:00;2014-12-31;5,50351E+17;Minneapolis;MN;Central Time (US & Canada);Midwest
Other;female;howugethegirl;Family/Friends/Relationships;0;#NewYearsResolution do everything it takes to meet taylor;NaN;2014-12-31T10:01:00;2014-12-31;5,50351E+17;miami;FL;Atlantic Time (Canada);South
Get a new job;male;STERLINGMHOLMES;Family/Friends/Relationships;0;@KennedyNation my #NewYearsResolution is Job, Boyfriend, Preparing for 2016 POTUS elections, and gaining responsibilities. #FoxNews2015;NaN;2014-12-31T10:01:00;2014-12-31;5,50351E+17;Las Vegas NV;NV;Pacific Time (US & Canada);West
Other;male;TheMikeTrigguh;Recreation & Leisure;0;My #NewYearsResolution is to drink more!!!;NaN;2014-12-31T10:01:00;2014-12-31;5,50351E+17;Texas;TX;Central Time (US & Canada);South
Eat healthier;male;MikeStone601;Health & Fitness;0;My #NewYearsResolution is to watch what I eat. My belly sitting on swole _??_;NaN;2014-12-31T09:59:00;2014-12-31;5,50351E+17;601 - Mississippi - Ju City;MS;Central Time (US & Canada);South
Humor about Family/Friends/Relationships Resolutions;male;shoutabyss;Humor;0;Try not to bitch about my 2014 Christmas bonus every single day. #NewYearsResolution;NaN;2014-12-31T09:59:00;2014-12-31;5,5035E+17;The Abyss, Portland, Oregon;OR;Pacific Time (US & Canada);West
Improve my appearance;female;Beens03;Personal Growth;0;Out with the old and in with the new #NewYearsResolution;NaN;2014-12-31T09:58:00;2014-12-31;5,5035E+17;new york;NY;Eastern Time (US & Canada);Northeast
Learn to play an instrument;male;ASonOfTheOne;Family/Friends/Relationships;0;#NewYearsResolution To learn how to play a completely new instrument, probably the Cello.;NaN;2014-12-31T09:58:00;2014-12-31;5,5035E+17;The Lone Star State;TX;NaN;South
Make better decisions;male;alecm711;Personal Growth;0;Happy New Year Eve my resolution will be taking more pictures of me and drink no soda #NewYearsResolution;NaN;2014-12-31T09:58:00;2014-12-31;5,5035E+17;L.A;CA;NaN;West
Go to the gym more;male;brewerfan71;Health & Fitness;0;#NewYearsResolution starts today!  Just joined Charter Fitness and I will go at least twice a week!;[0.0, 0.0];2014-12-31T09:44:00;2014-12-31;5,50347E+17;Kenosha, WI;WI;Central Time (US & Canada);Midwest
Improve my attitude;male;_inkeddUpShawty;Personal Growth;0;Get Money, Grind Harder, Stay Focused, Work on a better attitude. _?????__??_??_??__?_???? #NewYearsResolution;[43.3745229, -83.9371908];2014-12-31T09:56:00;2014-12-31;5,5035E+17;Saginaw;MI;Atlantic Time (Canada);Midwest
Spend more time outside;female;CinderAndAsh;Recreation & Leisure;0;When midnight hits, I'll still be reading The Fellowship of the Ring. #NewYearsResolution : Gonna finish all three + Hobbit before Jan ends.;NaN;2014-12-31T09:56:00;2014-12-31;5,5035E+17;Peru, IN;IN;Eastern Time (US & Canada);Midwest
Quit smoking;male;lowkick89;Health & Fitness;0;Just updated my fighter profile. Hopefully returning to training full time and getting back into it in the new year. #NewYearsResolution;NaN;2014-12-31T09:56:00;2014-12-31;5,5035E+17;Orange County, California;CA;Pacific Time (US & Canada);West
Learn better time management practices;male;TheRealWillyC;Family/Friends/Relationships;0;@parksandrecnbc: Avoid getting Jammed in 2015. #NewYearsResolution @calmedoctorhuey;NaN;2014-12-31T09:54:00;2014-12-31;5,50349E+17;Snow City, PA;PA;Eastern Time (US & Canada);Northeast
Spend more time on my hobby;female;almatkinson;Recreation & Leisure;0;My #NewYearsResolution to be #backstage for ONE of @AdventureDub 's performances! _???_??? #Music #LoveThisMoment http://t.co/n4nL5mpy04;NaN;2014-12-31T09:52:00;2014-12-31;5,50349E+17;Los Angeles, CA ;CA;NaN;West
Humor about New Years;male;Patrick_Pfohl;Humor;1;RT @NinaHermes: Be less of a bitch, more of a cunt. #NewYearsResolution;NaN;2014-12-31T09:52:00;2014-12-31;5,50349E+17;Chicago, Illinois;IL;Central Time (US & Canada);Midwest
Take a trip;female;SaltySith;Recreation & Leisure;0;Drink beer besides Yuengling #NewYearsResolution;NaN;2014-12-31T10:13:00;2014-12-31;5,50354E+17;Pittsburgh, PA;PA;Central Time (US & Canada);Northeast
Go gluten free;male;davetheuseless;Health & Fitness;0;#NewYearsResolution(s): 1) Secure the apartment I'm getting w/ 1 or 2 ladyfriends. 2) Be less of a fatty. 3) Form a new rock n roll band.;NaN;2014-12-31T09:51:00;2014-12-31;5,50349E+17;New Jersey;NJ;Atlantic Time (Canada);Northeast
Other;male;Ferrarious77;Humor;0;More tweeting less paying attention to the road #NewYearsResolution;NaN;2014-12-31T09:51:00;2014-12-31;5,50348E+17;Rhode Island;RI;Central Time (US & Canada);Northeast
Be more positive;male;PKhanPi;Personal Growth;0;Officially done with Trivia Crack as of today. #NewYearsResolution #CrackRehab;NaN;2014-12-31T09:50:00;2014-12-31;5,50348E+17;Bowling Green, OH;OH;Eastern Time (US & Canada);Midwest
Improve my body;male;tompycan;Health & Fitness;1;#NewYearsResolution on Jan1: I'm really going to get in shape this year!on Jan3: I'm learning to love my body the way it is this year!;NaN;2014-12-31T09:49:00;2014-12-31;5,50348E+17;Shenandoah;VA;Eastern Time (US & Canada);South